upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
4078,Untrimmed Sweet Corn,0.4,1 EAR,USDA Produce,,Produce,2098,2025-06-10T11:09:53.613979
7143000218,Dole Apple Harvest Premium Salad Kit,3.49,8 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:53.638480
7143000226,Dole Cool Melon Premium Salad Kit,3.49,8.7 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:53.639608
7143000223,Dole Smash Burger Chopped Salad Kit,3.49,10.6 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:53.640625
4011,Yellow Bananas apx 4-6 ct,1.52,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:53.641633
85762000303,Strawberries,3.79,16 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:53.642581
4053,Lemons,0.67,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.643610
4225,Unripened Hass Avocados,1,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.644558
3338322101,Blueberries,3.33,1 DRY PINT,USDA Produce,,Produce,2098,2025-06-10T11:09:53.645588
20408700000,Plum Roma Tomatoes,0.31,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.646602
4048,Limes,0.5,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.647487
3082,Broccoli Crowns,1.83,1 CROWN,USDA Produce,,Produce,2098,2025-06-10T11:09:53.648363
4077,Untrimmed Whole White Corn,0.4,1 EAR,USDA Produce,,Produce,2098,2025-06-10T11:09:53.649234
4062,Cucumber,0.88,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.650089
4067,Zucchini Squash,1.1,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.650920
26468800000,Red Bell Peppers,1.59,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.651757
4065,Green Bell Peppers,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.652606
7224013377,Wonderful Halos Seedless Mandarins,5.49,2 LB BAG,Wonderful Halos,,Produce,2098,2025-06-10T11:09:53.653418
4072,Large Baking Russet Potatoes,0.73,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.654222
4091,Sweet Potatoes,1.17,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.655039
20409300000,Yellow Onions,0.41,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.655845
4135,Gala Apples,0.84,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.656633
3283,Honeycrisp Apples,2.39,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.657419
71575610001,Raspberries,3.33,6 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:53.658212
4080,Asparagus,2.97,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:53.658997
4082,Red Onions,1.51,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.659775
68826713999,Giant Mini Cucumbers,2.99,14 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:09:53.660636
4012,Navel Orange,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.661437
68826704391,Giant Peeled Baby Cut Carrots,1.29,1 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:53.662235
4693,Jalapeno Peppers,0.17,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.663028
4051,Mangos,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.663821
4068,Green Onions (Scallions),1.19,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:53.664607
88546000003,Giant Romaine Lettuce Hearts,3.49,3 CT PKG,Our Brand,,Produce,2098,2025-06-10T11:09:53.665394
4239,Blackberries,3.79,4.4 - 6 OZ,USDA Produce,,Produce,2098,2025-06-10T11:09:53.666182
75166677155,NatureSweet Cherubs Salad Grape Tomatoes,3.99,10 OZ PKG,NatureSweet,,Produce,2098,2025-06-10T11:09:53.666980
4409,Bartlett Pears,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.667766
4061,Iceberg Lettuce,1.88,1 HEAD,USDA Produce,,Produce,2098,2025-06-10T11:09:53.668552
4159,Vidalia Sweet Onions,1.21,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:53.669412
4086,Yellow Squash,0.98,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.618966
