upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
4078,Untrimmed Sweet Corn,0.25,1 EAR,USDA Produce,,Produce,2098,2025-06-19T16:30:20.314181
4011,Yellow Bananas apx 4-6 ct,1.52,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:20.318185
85762000303,Strawberries,3.79,16 OZ PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:20.319186
4053,Lemons,0.67,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.319186
4225,Unripened Hass Avocados,1.88,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.320187
3338322101,Blueberries,3.79,1 DRY PINT,USDA Produce,,Produce,2098,2025-06-19T16:30:20.321188
20408700000,Plum Roma Tomatoes,0.31,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.322189
4048,Limes,0.5,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.323190
4077,Untrimmed Whole White Corn,0.25,1 EAR,USDA Produce,,Produce,2098,2025-06-19T16:30:20.323190
26468800000,Red Bell Peppers,1,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.324191
4062,Cucumber,0.88,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.325192
4067,Zucchini Squash,1.1,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.326192
3082,Broccoli Crowns,1.83,1 CROWN,USDA Produce,,Produce,2098,2025-06-19T16:30:20.326192
4065,Green Bell Peppers,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.327193
4072,Large Baking Russet Potatoes,0.73,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.328194
7224013377,Wonderful Halos Seedless Mandarins,4.99,2 LB BAG,Wonderful Halos,,Produce,2098,2025-06-19T16:30:20.329195
4091,Sweet Potatoes,1.17,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.330196
20409300000,Yellow Onions,0.41,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.331197
4135,Gala Apples,0.84,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.332198
3283,Honeycrisp Apples,2.39,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.332198
71575610001,Raspberries,4.99,6 OZ PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:20.333198
4080,Asparagus,3.77,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:20.334200
4044,Peaches,2.23,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.335201
4082,Red Onions,1.51,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.335201
68826713999,Giant Mini Cucumbers,1.99,14 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:20.336202
4012,Navel Orange,0.99,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.337202
68826704391,Giant Peeled Baby Cut Carrots,1.29,1 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:20.338203
4693,Jalapeno Peppers,0.17,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:20.338203
4068,Green Onions (Scallions),1.19,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:20.339204
